sl_no,district,market,commodity,variety,grade,min_price,max_price,modal_price,price_date
1,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,1800,2400,2300,2025-03-10
2,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,1800,2400,2300,2025-03-12
10,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2400,2300,2025-03-18
3,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,1800,2400,2300,2025-03-21
26,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-03-22
29,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-03-24
31,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-03-25
33,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-03-28
14,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-01
15,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-02
16,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-03
17,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-04
20,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-08
21,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-09
22,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-10
23,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-11
8,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2400,2300,2025-04-12
9,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2400,2300,2025-04-15
24,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-21
25,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-22
27,Mahbubnagar,Alampur,Paddy(Dhan)(Common),Common,FAQ,2000,2500,2300,2025-04-23
